=== Run information ===

Scheme:       weka.classifiers.bayes.NaiveBayes -K
Relation:     xAPI-Edu-Data-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5
Instances:    480
Attributes:   8
              gender
              Relation
              raisedhands
              VisITedResources
              AnnouncementsView
              ParentAnsweringSurvey
              StudentAbsenceDays
              Class
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

Naive Bayes Classifier

                               Class
Attribute                          M            L            H
                              (0.44)       (0.27)        (0.3)
===============================================================
gender
  M                             136.0        104.0         68.0
  F                              77.0         25.0         76.0
  [total]                       213.0        129.0        144.0

Relation
  Father                        138.0        105.0         43.0
  Mum                            75.0         24.0        101.0
  [total]                       213.0        129.0        144.0

raisedhands
  [# kernels]                      54           34           43
  [std. dev]                   6.8843       7.1208        7.563
  [precision]                  1.2346       1.2346       1.2346
  K1: mean (weight)             0 (1)        0 (8)   9.8765 (1)
  K2: mean (weight)        2.4691 (1)   1.2346 (2)  13.5802 (4)
  K3: mean (weight)        6.1728 (1)   2.4691 (9)  14.8148 (3)
  K4: mean (weight)        7.4074 (2)   3.7037 (3)  18.5185 (1)
  K5: mean (weight)       9.8765 (11)  4.9383 (10)  22.2222 (1)
  K6: mean (weight)       11.1111 (2)  7.4074 (10)  23.4568 (2)
  K7: mean (weight)       12.3457 (4)    8.642 (3)  24.6914 (1)
  K8: mean (weight)       14.8148 (7)  9.8765 (19)  27.1605 (1)
  K9: mean (weight)       16.0494 (1)  11.1111 (4)  29.6296 (1)
  K10: mean (weight)       17.284 (4)  12.3457 (8)  34.5679 (2)
  K11: mean (weight)      18.5185 (8)  13.5802 (3)  39.5062 (1)
  K12: mean (weight)      19.7531 (5)  14.8148 (4)  44.4444 (1)
  K13: mean (weight)      20.9877 (2)  16.0494 (1)  49.3827 (6)
  K14: mean (weight)      22.2222 (1)   17.284 (1)  50.6173 (1)
  K15: mean (weight)      23.4568 (3)  18.5185 (4)  55.5556 (2)
  K16: mean (weight)      24.6914 (8)  19.7531 (6)  59.2593 (2)
  K17: mean (weight)      27.1605 (4)  20.9877 (1)  60.4938 (5)
